Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
CND,38 WARREN ST 8C,10007,2251338,30,1580000,,53,2/12/2020,Market,NEW YORK,1,0
CND,38 WARREN ST 7A,10007,2195000,100,,,0,8/11/2014,Market,NEW YORK,0,0
CND,38 WARREN ST 7B,10007,2995000,100,,,0,12/29/2021,Market,NEW YORK,1,0
CND,38 WARREN ST 7C,10007,3100000,100,2000000,,63,5/31/2022,Market,NEW YORK,1,0
CND,38 WARREN ST 9A,10007,2825000,53,1325000,,53,9/30/2022,Market,NEW YORK,1,0
CND,54 WARREN ST 3,10007,3500000,25,260000,,7,3/12/2014,Market,NEW YORK,1,0
CND,38 WARREN ST 9B,10007,3250000,100,2000000,,56,6/28/2021,Market,NEW YORK,1,0
CND,54 WARREN ST 4,10007,3450000,20,2760000,,80,5/3/2022,Market,NEW YORK,1,0
CND,295 GREENWICH ST 2MN,10007,650000,20,520000,,78,6/8/2022,Market,NEW YORK,1,0
CND,295 GREENWICH ST 3AN,10007,1550000,20,1240000,,71,4/15/2021,Market,NEW YORK,1,0
CND,295 GREENWICH ST 3ON,10007,875000,100,,,0,3/15/2022,Market,NEW YORK,1,0
CND,295 GREENWICH ST 5LN,10007,1088000,30,761600,,62,1/27/2016,Market,NEW YORK,0,0
CND,150 CHAMBERS ST 5WEST,10007,3095000,20,2476000,11645,79,12/6/2018,Market,NEW YORK,1,0
CND,92 WARREN ST 7,10007,4550000,25,3412500,,75,6/5/2023,Market,NEW YORK,0,0
CND,148 CHAMBERS ST 3,10007,2800000,30,1960000,,60,7/10/2014,Market,NEW YORK,1,0
CND,148 CHAMBERS ST 4,10007,2300000,20,1840000,,66,7/7/2020,Market,NEW YORK,1,0
CND,148 CHAMBERS ST 2,10007,2550000,30,1785000,,55,5/12/2016,Market,NEW YORK,1,0
CND,146 CHAMBERS ST 3,10007,2750000,100,600000,,24,6/25/2015,Market,NEW YORK,0,0
CND,303 GREENWICH ST 3A,10013,985000,25,738750,,75,5/5/2022,Market,NEW YORK,1,0
CND,303 GREENWICH ST 4J,10013,2400000,95,115274,,4,9/2/2015,Market,NEW YORK,0,0
CND,303 GREENWICH ST 5A,10013,2050000,100,1000000,20066,41,11/10/2015,Market,NEW YORK,1,0
CND,303 GREENWICH ST 5F,10013,935000,100,,,0,11/3/2021,Market,NEW YORK,1,0
CND,303 GREENWICH ST 9B,10013,965000,25,723750,,69,12/21/2021,Market,NEW YORK,1,0
CND,311 GREENWICH ST 2F,10013,978000,100,,,0,8/5/2021,Market,NEW YORK,1,0
CND,311 GREENWICH ST 5D,10013,2125000,100,,,0,8/18/2015,Market,NEW YORK,0,0
CND,311 GREENWICH ST 5I,10013,1020000,20,816000,,76,8/27/2021,Market,NEW YORK,1,0
CND,311 GREENWICH ST 7G,10013,895000,100,,,0,7/24/2020,Market,NEW YORK,1,0
CND,157 CHAMBERS ST 10B,10007,3550000,100,,,0,4/8/2016,Market,NEW YORK,0,0
CND,157 CHAMBERS ST 11B,10007,3390000,55,1515330,21985,45,2/25/2016,Market,NEW YORK,1,0
CND,157 CHAMBERS ST 15A,10007,5250000,100,,,0,6/10/2016,Market,NEW YORK,0,0
CND,168 DUANE ST 2S,10013,4995000,10,4484000,,81,5/18/2018,Market,NEW YORK,1,0
CND,166 DUANE ST 2A,10013,6025000,35,3916250,,60,10/7/2021,Market,NEW YORK,1,0
CND,166 DUANE ST 3B,10013,6750000,78,1485403,,21,10/12/2021,Market,NEW YORK,1,0
CND,166 DUANE ST 9B,10013,5300000,100,,,0,5/16/2022,Market,NEW YORK,1,0
CND,166 DUANE ST 10A,10013,4900000,59,2000000,,42,8/4/2022,Market,NEW YORK,1,0
CND,138 READE ST 2,10013,5100000,30,3570000,4631,68,4/27/2015,Market,NEW YORK,1,0
SFR,31 HARRISON ST,10013,5150000,20,4120000,,67,12/9/2021,Market,NEW YORK,1,0
SFR,27 HARRISON ST,10013,6750000,57,2898513,,43,6/13/2022,Market,NEW YORK,1,0
SFR,37 HARRISON ST,10013,5500000,100,,,0,8/4/2014,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 12A,10007,3825000,,3060000,,36,10/5/2021,NonMarket-Family,NEW YORK,1,0
CND,200 CHAMBERS ST 9A,10007,3920000,97,104000,,2,8/13/2021,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 24A,10007,4400000,86,594041,,12,8/30/2016,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 23A,10007,4180000,68,1330017,,30,2/2/2022,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 4B,10007,5250000,43,3000000,,53,10/14/2021,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 17B,10007,2400000,100,,,0,1/30/2015,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 16B,10007,2470000,62,931322,,37,11/10/2021,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 27B,10007,2590000,30,1820000,,71,11/1/2021,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 29B,10007,2650000,30,1855000,,71,7/29/2021,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 28B,10007,2600000,50,1300000,,53,9/13/2022,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 5C,10007,2900000,100,,,0,5/5/2023,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 2D,10007,2240000,20,1792000,10116,71,6/14/2017,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 7D,10007,2440000,100,,,0,5/15/2015,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 15D,10007,3640000,100,,,0,8/19/2015,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 25D,10007,3900000,49,2000000,651314,62,4/30/2015,Market,NEW YORK,0,0
CND,200 CHAMBERS ST 7E,10007,1355000,26,1000000,,75,8/30/2022,Market,NEW YORK,1,0
CND,200 CHAMBERS ST 12E,10007,1676000,100,,,0,2/4/2014,Market,NEW YORK,0,0
